(u'JiangNing', (38363.18721344638, 1002))
(u'XuanWu', (16465.22938336309, 262))
(u'YuHuaTai', (7154.73732972394, 124))
(u'LiShui', (274.2431499851252, 14))
(u'LiuHe', (137.0447358869751, 7))
(u'QinHuai', (41685.74336213761, 641))
(u'JianYe', (33119.1858104408, 533))
(u'GuLou', (34125.92473131122, 551))
(u'QiXia', (34639.560664350254, 773))
(u'Pukou', (22971.354624861102, 808))
(u'JiangNing', (36471.78239576377, 958))
(u'XuanWu', (16225.53038047535, 242))
(u'YuHuaTai', (7607.839809089532, 132))
(u'LiShui', (178.94238563785117, 12))
(u'LiuHe', (104.91233905416973, 7))
(u'QinHuai', (41362.70843343516, 637))
(u'JianYe', (33217.636664321464, 531))
(u'GuLou', (35163.14216894876, 560))
(u'QiXia', (34966.55464005345, 776))
(u'Pukou', (24561.32626897247, 860))
(u'JiangNing', (39118.004978477584, 947))
(u'XuanWu', (18088.139995986603, 291))
(u'YuHuaTai', (7020.3741552705715, 121))
(u'LiShui', (247.317575804845, 15))
(u'LiuHe', (147.11379918209047, 8))
(u'QinHuai', (41211.00765374229, 596))
(u'JianYe', (35739.00811764586, 570))
(u'GuLou', (35757.77701104633, 593))
(u'QiXia', (33649.47986744297, 742))
(u'Pukou', (23725.70152568778, 832))
(u'JiangNing', (36711.491049411, 990))
(u'XuanWu', (17265.49721515202, 274))
(u'YuHuaTai', (6915.396114796976, 121))
(u'LiShui', (142.94550637296732, 8))
(u'LiuHe', (134.73285486443382, 6))
(u'QinHuai', (41063.73751754617, 649))
(u'JianYe', (29381.31925975109, 472))
(u'GuLou', (35921.78634315928, 586))
(u'QiXia', (36594.60789052379, 781))
(u'Pukou', (23441.369868576185, 828))
(u'JiangNing', (39470.334433597425, 948))
(u'XuanWu', (17131.091554671086, 268))
(u'YuHuaTai', (6491.9570187629, 105))
(u'LiShui', (196.08997032072614, 11))
(u'LiuHe', (60.785845360313445, 3))
(u'QinHuai', (41317.895335546295, 655))
(u'JianYe', (34572.70903742988, 552))
(u'GuLou', (35548.66486881673, 586))
(u'QiXia', (34899.209286105965, 754))
(u'Pukou', (23455.5493132549, 833))
